,id,Marathon,Name,Category,km4week,sp4week,CrossTraining,Wall21,MarathonTime,CATEGORY
0,1,Prague17,Blair MORGAN,MAM,132.8,14.43478261,0,1.16,2.37,A
1,2,Prague17,Robert Heczko,MAM,68.6,13.6744186,0,1.23,2.59,A
2,3,Prague17,Michon Jerome,MAM,82.7,13.52043597,0,1.30,2.66,A
3,4,Prague17,Daniel Or lek,M45,137.5,12.25854383,0,1.32,2.68,A
4,5,Prague17,Luk ? Mr zek,MAM,84.6,13.94505495,0,1.36,2.74,A
5,6,Prague17,David Pecina,M40,42.2,13.61290323,0,1.32,2.78,A
6,7,Prague17,Tomas Drabek,M40,89.0,12.59433962,0,1.38,2.81,A
7,8,Prague17,Jan Rada,M45,106.0,12.69461078,0,1.41,2.84,A
8,9,Prague17,Tomas Drabek,MAM,70.0,13.7704918,ciclista 1h,1.38,2.83,A
9,10,Prague17,martin ?indel ?,M45,84.2,13.36507937,0,1.35,2.86,A
