,ControlGroup,ExpGroup
3000,184.942,197.64000000000001
3001,184.964,156.942
3002,200.85,173.94
3003,190.754,203.584
3004,181.552,169.596
3005,197.922,160.042
3006,196.292,201.956
3007,180.236,185.764
3008,191.458,154.344
3009,201.114,190.422
3010,184.138,198.16
3011,184.82999999999998,156.872
3012,201.72,173.902
3013,191.12,203.626
3014,183.25,168.18800000000002
3015,196.922,159.37
3016,196.698,200.386
3017,181.4,182.722
3018,191.76,152.352
3019,199.448,188.762
3020,184.362,197.06199999999998
3021,185.866,155.552
3022,201.776,173.91400000000002
3023,190.82999999999998,203.168
3024,181.358,168.724
3025,197.574,159.418
3026,197.614,200.68800000000002
3027,181.68800000000002,183.962
3028,192.27,153.136
3029,200.91199999999998,189.654
3030,185.052,197.364
3031,184.68599999999998,156.942
3032,201.144,175.93599999999998
3033,191.004,204.474
3034,181.426,169.712
3035,197.97,161.656
3036,197.534,203.268
3037,180.684,185.642
3038,191.514,155.04000000000002
3039,200.818,192.15
3040,184.31,199.0
3041,184.25799999999998,157.726
3042,200.65,174.95
3043,190.868,202.478
3044,180.874,167.322
3045,197.404,158.20999999999998
3046,196.996,199.706
3047,180.81400000000002,181.416
3048,192.06199999999998,151.724
3049,199.832,187.792
3050,184.318,195.2
3051,184.56199999999998,154.322
3052,201.458,171.978
3053,190.496,200.926
3054,180.478,166.882
3055,196.974,159.198
3056,197.384,200.042
3057,181.32,182.408
3058,191.872,151.308
3059,199.674,188.178
3060,184.51600000000002,194.6
3061,184.48399999999998,154.018
3062,200.66,172.19
3063,190.692,201.074
3064,181.352,166.08800000000002
3065,197.518,158.964
3066,197.434,201.052
3067,181.10999999999999,184.612
3068,192.114,154.972
3069,201.5,191.894
3070,185.02,198.504
3071,184.326,157.824
3072,201.32,176.1
3073,191.784,204.124
3074,181.56199999999998,168.14000000000001
3075,197.748,160.176
3076,196.554,200.424
3077,180.708,182.126
3078,190.552,152.50799999999998
3079,200.43599999999998,189.416
3080,185.456,195.118
3081,184.28,155.112
3082,201.136,173.606
3083,190.26,201.594
3084,181.10999999999999,166.302
3085,197.416,158.56400000000002
3086,197.55599999999998,199.714
3087,182.59,182.212
3088,191.81400000000002,152.73
3089,200.072,189.828
3090,183.81400000000002,195.68599999999998
3091,183.926,157.328
3092,200.392,175.43800000000002
3093,190.878,202.598
3094,181.158,166.904
3095,198.14600000000002,160.73399999999998
3096,198.268,200.44
3097,181.682,184.928
3098,191.044,154.448
3099,200.606,190.73
3100,185.53199999999998,195.308
3101,185.082,156.212
3102,200.72,174.048
3103,191.89000000000001,201.79000000000002
3104,180.49200000000002,166.918
3105,196.824,159.68599999999998
3106,195.78,200.432
3107,180.798,182.49
3108,190.886,153.75
3109,200.232,189.53199999999998
3110,185.488,195.53
3111,184.92000000000002,156.328
3112,200.074,174.696
3113,191.012,202.006
3114,180.54000000000002,168.3
3115,196.93800000000002,162.184
3116,196.99200000000002,201.7
3117,181.14600000000002,182.478
3118,190.998,154.014
3119,200.746,189.174
3120,185.06199999999998,195.03199999999998
3121,185.07,155.56400000000002
3122,201.454,175.328
3123,192.006,203.328
3124,182.148,167.716
3125,197.096,161.26
3126,196.988,201.18
3127,180.788,182.942
3128,191.85999999999999,153.526
3129,201.24200000000002,189.736
3130,186.004,195.49200000000002
3131,184.034,155.886
3132,200.348,176.19
3133,190.75799999999998,203.26600000000002
3134,179.982,170.506
3135,196.44400000000002,164.276
3136,196.772,203.888
3137,180.96800000000002,185.952
3138,190.934,155.48
3139,200.902,191.57
3140,185.548,197.136
3141,184.566,157.464
3142,200.452,176.076
3143,191.208,202.962
3144,181.066,167.25799999999998
3145,196.75,159.99200000000002
3146,197.728,199.892
3147,181.816,180.156
3148,190.352,151.894
3149,200.7,188.678
3150,185.804,193.76600000000002
3151,184.024,154.98
3152,200.948,174.16
3153,191.446,201.554
3154,180.214,166.384
3155,197.222,160.364
3156,197.246,200.91400000000002
3157,181.272,181.644
3158,190.342,151.85999999999999
3159,200.884,188.362
3160,185.288,194.876
3161,184.956,154.552
3162,201.60999999999999,173.824
3163,192.022,199.68599999999998
3164,181.184,164.874
3165,197.862,157.56
3166,197.566,198.12
3167,181.20999999999998,180.818
3168,190.154,150.784
3169,200.928,187.276
3170,185.294,192.834
3171,183.844,153.16400000000002
